REF_DATE,GEO,"Highest certificate, diploma or degree",Census year,Percent
2016,Canada,"No certificate, diploma or degree",2016,18.3
2016,Canada,High (secondary) school diploma or equivalency certificate,2016,26.5
2016,Canada,"Postsecondary certificate, diploma or degree",2016,55.3
2016,Canada,Apprenticeship or trades certificate or diploma,2016,9.8
2016,Canada,Non-apprenticeship trades certificate or diploma,2016,5.4
2016,Canada,Apprenticeship certificate,2016,4.4
2016,Canada,"College, CEGEP or other non-university certificate or diploma",2016,19.4
2016,Canada,University certificate or diploma below bachelor level,2016,2.8
2016,Canada,Bachelorâ€™s degree or higher,2016,23.3
2016,Canada,Bachelor's degree,2016,15.5
2016,Canada,University certificate or diploma above bachelor level,2016,1.6
2016,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",2016,0.7
2016,Canada,Master's degree,2016,4.6
2016,Canada,Earned doctorate,2016,0.8
